Report generated at: 05270520

shadowrocket_basic.conf: Windows-1254
soundcloud.plugin: UTF-8-SIG
SpotifyPremium.plugin: UTF-8-SIG
ssa.plugin: UTF-8-SIG
startingad.plugin: utf-8
stsq.plugin: UTF-8-SIG
styleart.plugin: UTF-8-SIG
symbolab.plugin: UTF-8-SIG
tangerine.plugin: UTF-8-SIG
tenpercent.plugin: UTF-8-SIG
thunder.plugin: UTF-8-SIG
Tidal-HiFi.plugin: UTF-8-SIG
todo.plugin: UTF-8-SIG
tokcam.plugin: UTF-8-SIG
tpp.plugin: UTF-8-SIG
ttd.plugin: UTF-8-SIG
tutu.plugin: UTF-8-SIG
usage.plugin: UTF-8-SIG
varlens.plugin: UTF-8-SIG
vcus.plugin: UTF-8-SIG
vista.plugin: UTF-8-SIG
vivacut.plugin: UTF-8-SIG
vsco.plugin: UTF-8-SIG
wallcraft.plugin: UTF-8-SIG
watchout.plugin: UTF-8-SIG
wdfq.plugin: UTF-8-SIG
wdqd.plugin: UTF-8-SIG
wechatad.plugin: UTF-8-SIG
wechatread.plugin: UTF-8-SIG
weiboad.plugin: UTF-8-SIG
wfw.plugin: UTF-8-SIG
whqsy.plugin: UTF-8-SIG
widgetsmith.plugin: UTF-8-SIG
wnbsq.plugin: UTF-8-SIG
wnds.plugin: UTF-8-SIG
WPS.plugin: UTF-8-SIG
wscsds.plugin: UTF-8-SIG
wsgj.plugin: UTF-8-SIG
wxds.plugin: UTF-8-SIG
wxts.plugin: UTF-8-SIG
xcz.plugin: UTF-8-SIG
xiaoying.plugin: UTF-8-SIG
xjsp.plugin: UTF-8-SIG
xmind.plugin: UTF-8-SIG
xmlyad.plugin: UTF-8-SIG
xrk.plugin: UTF-8-SIG
xxg.plugin: UTF-8-SIG
xxyq.plugin: UTF-8-SIG
xyts.plugin: UTF-8-SIG
xzj.plugin: UTF-8-SIG
xzjhz.plugin: UTF-8-SIG
yczjz.plugin: UTF-8-SIG
ydcd.plugin: UTF-8-SIG
ydybj.plugin: UTF-8-SIG
yitian.plugin: UTF-8-SIG
yiyan.plugin: UTF-8-SIG
yjhl.plugin: UTF-8-SIG
ymjz.plugin: UTF-8-SIG
youtube.plugin: UTF-8-SIG
ypjj.plugin: UTF-8-SIG
ysyk.plugin: UTF-8-SIG
yunting.plugin: UTF-8-SIG
ywqpy.plugin: UTF-8-SIG
zebra.plugin: UTF-8-SIG
zhitiao.plugin: UTF-8-SIG
zhsck.plugin: UTF-8-SIG
zjbj.plugin: UTF-8-SIG
zjsg.plugin: UTF-8-SIG
zt.plugin: UTF-8-SIG
ztc.plugin: UTF-8-SIG
zymk.plugin: UTF-8-SIG
1blocker.conf: UTF-8-SIG
4in1.conf: UTF-8-SIG
7dong.conf: UTF-8-SIG
absqgs.conf: UTF-8-SIG
accu.conf: UTF-8-SIG
AdBlock.conf: UTF-8-SIG
adguard.conf: UTF-8-SIG
adultra.conf: utf-8
agenda.conf: UTF-8-SIG
ai.conf: UTF-8-SIG
alarmy.conf: UTF-8-SIG
aliyun.conf: UTF-8-SIG
aloha.conf: UTF-8-SIG
amj.conf: UTF-8-SIG
apowersoft.conf: UTF-8-SIG
appraven.conf: UTF-8-SIG
aptv.conf: UTF-8-SIG
aqc.conf: UTF-8-SIG
arbc.conf: UTF-8-SIG
arpdfbj.conf: UTF-8-SIG
artp.conf: UTF-8-SIG
audiomack.conf: UTF-8-SIG
B-Search.conf: UTF-8-SIG
b612.conf: UTF-8-SIG
BaiduCloud.conf: UTF-8-SIG
baimiao.conf: UTF-8-SIG
bazaart.conf: UTF-8-SIG
bdsp.conf: UTF-8-SIG
bdwk.conf: UTF-8-SIG
BedtimeFan.conf: UTF-8-SIG
bfs.conf: UTF-8-SIG
bili.conf: UTF-8-SIG
